,crime_type,date,address
415,Burglary,2018-03-10 00:00:00,00 BLOCK OF PINEHURST AVE
416,Burglary,2018-03-10 00:00:00,
417,Burglary,2018-03-10 00:00:00,55-04 138TH ST
418,Burglary,2018-03-10 00:00:00,21-99 119TH ST
419,Burglary,2018-03-10 00:00:00,00 BLOCK OF HORACE HARDING EXPY
420,Burglary,2018-03-10 00:00:00,
421,Burglary,2018-03-10 00:00:00,600 BLOCK OF CRESCENT AVE
422,Burglary,2018-03-10 00:00:00,
423,Burglary,2018-03-10 00:00:00,
424,Burglary,2018-03-10 00:00:00,
425,Burglary,2018-03-10 00:00:00,
426,Burglary,2018-03-10 00:00:00,100 BLOCK OF E 115TH ST
427,Burglary,2018-03-10 00:00:00,
428,Burglary,2018-03-10 00:00:00,STANTON ST
429,Burglary,2018-03-10 00:00:00,39-18 63RD ST
430,Burglary,2018-03-10 00:00:00,69-89 MARBLE HILL AVE
431,Burglary,2018-03-10 00:00:00,1500 BLOCK OF LELAND AVE
432,Burglary,2018-03-10 00:00:00,800 BLOCK OF E TREMONT AVE
433,Burglary,2018-03-10 00:00:00,300 BLOCK OF E MOSHOLU PKWY N
434,Burglary,2018-03-09 00:00:00,
